,Model,Year,Price,Transmission,Mileage,Fuel_type,Tax,Fuel_cons_mpg,Engine_size,Automatic,Manual,Semi-Auto
148, 1 Series,2016,13700,Manual,8719,2,125,52.3,1.5,0,1,0
149, 4 Series,2018,16900,Automatic,27133,2,145,44.8,2.0,1,0,0
150, 5 Series,2018,21950,Automatic,21947,1,150,68.9,2.0,1,0,0
151, X1,2013,8750,Manual,80625,1,160,51.4,2.0,0,1,0
152, 3 Series,2017,17000,Automatic,31501,4,0,134.5,2.0,1,0,0
153, 1 Series,2016,13750,Automatic,8707,2,30,55.5,1.5,1,0,0
154, 1 Series,2017,12800,Manual,10861,2,125,53.3,1.5,0,1,0
155, 4 Series,2017,16000,Manual,16359,2,145,46.3,2.0,0,1,0
156, 4 Series,2017,16600,Automatic,46913,1,145,65.7,2.0,1,0,0
157, 3 Series,2017,15100,Manual,37747,1,125,60.1,2.0,0,1,0
158, 4 Series,2017,16750,Manual,24882,2,145,46.3,2.0,0,1,0
159, 1 Series,2015,12450,Manual,24474,2,125,52.3,1.5,0,1,0
160, 3 Series,2018,15700,Automatic,29394,2,145,48.7,2.0,1,0,0
161, 5 Series,2016,12600,Manual,59528,1,125,60.1,2.0,0,1,0
162, 2 Series,2016,14600,Manual,15577,2,160,44.1,2.0,0,1,0
163, X1,2016,13700,Manual,52226,1,20,68.9,2.0,0,1,0
164, 3 Series,2017,16900,Automatic,12330,1,30,64.2,2.0,1,0,0
165, 4 Series,2015,15998,Semi-Auto,62943,1,30,65.7,2.0,0,0,1
166, X1,2020,31498,Semi-Auto,1560,1,145,60.1,2.0,0,0,1
167, 2 Series,2020,27998,Manual,1580,2,150,43.5,1.5,0,1,0
168, X5,2020,54998,Semi-Auto,1500,1,150,37.7,3.0,0,0,1
169, 3 Series,2014,11998,Manual,11545,2,165,44.8,2.0,0,1,0
170, 2 Series,2020,25998,Automatic,3160,3,140,113.0,1.5,1,0,0
171, 1 Series,2020,31998,Semi-Auto,1560,1,150,48.7,2.0,0,0,1
172, X2,2020,29998,Manual,1850,1,150,49.6,2.0,0,1,0
173, X4,2019,33998,Semi-Auto,7272,1,150,42.8,2.0,0,0,1
175, 1 Series,2017,14995,Manual,19866,1,30,65.7,2.0,0,1,0
176, 4 Series,2016,17995,Semi-Auto,22476,2,145,48.7,2.0,0,0,1
177, 1 Series,2013,14498,Semi-Auto,42786,2,235,37.7,3.0,0,0,1
178, 1 Series,2015,10998,Manual,42410,1,30,65.7,2.0,0,1,0
179, 5 Series,2014,11998,Semi-Auto,60681,1,125,57.6,2.0,0,0,1
180, X1,2016,14498,Manual,57717,1,125,58.9,2.0,0,1,0
181, 3 Series,2017,16998,Semi-Auto,8096,2,145,51.4,2.0,0,0,1
182, 1 Series,2015,11498,Manual,49151,1,30,62.8,2.0,0,1,0
183, X6,2017,29498,Semi-Auto,40429,1,200,47.1,3.0,0,0,1
184, M4,2016,31498,Semi-Auto,21107,2,300,34.0,3.0,0,0,1
185, 1 Series,2016,19498,Semi-Auto,33043,2,200,39.8,3.0,0,0,1
186, X1,2016,17998,Semi-Auto,50378,1,125,57.6,2.0,0,0,1
187, 5 Series,2019,25998,Semi-Auto,11115,1,145,65.7,2.0,0,0,1
188, X1,2013,8298,Manual,69020,1,125,57.6,2.0,0,1,0
